[I 09:51:59.539 NotebookApp] [jupyter_nbextensions_configurator] enabled 0.4.1
[I 09:51:59.543 NotebookApp] Serving notebooks from local directory: /Users/zhoubin/PycharmProjects/testsh
[I 09:51:59.543 NotebookApp] 0 active kernels
[I 09:51:59.543 NotebookApp] The Jupyter Notebook is running at:
[I 09:51:59.543 NotebookApp] http://localhost:8888/?token=bc619f26ec534d6a8a9e3dddaadc2a13aa4ac468577acc62
[I 09:51:59.543 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[C 09:51:59.543 NotebookApp] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8888/?token=bc619f26ec534d6a8a9e3dddaadc2a13aa4ac468577acc62
[I 09:51:59.763 NotebookApp] Accepting one-time-token-authenticated connection from ::1
[W 09:52:00.136 NotebookApp] 404 GET /i18n/zh-CN/LC_MESSAGES/nbjs.json?v=20200115095159 (::1) 7.82ms referer=http://localhost:8888/tree
[W 09:52:00.138 NotebookApp] 404 GET /static/components/moment/locale/zh-cn.js?v=20200115095159 (::1) 1.33ms referer=http://localhost:8888/tree
[I 09:52:08.336 NotebookApp] Creating new notebook in 
[W 09:52:08.803 NotebookApp] 404 GET /i18n/zh-CN/LC_MESSAGES/nbjs.json?v=20200115095159 (::1) 5.55ms referer=http://localhost:8888/notebooks/Untitled.ipynb?kernel_name=python3
[W 09:52:08.808 NotebookApp] 404 GET /static/components/moment/locale/zh-cn.js?v=20200115095159 (::1) 2.42ms referer=http://localhost:8888/notebooks/Untitled.ipynb?kernel_name=python3
[I 09:52:09.027 NotebookApp] Kernel started: 90ecea09-8888-4b04-89a9-6d75709c8927
[I 09:52:14.466 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 09:52:14.707 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 09:52:21.808 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 09:52:37.625 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 09:52:37.931 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 09:53:24.112 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 09:53:24.440 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:00:39.155 NotebookApp] Starting buffering for 90ecea09-8888-4b04-89a9-6d75709c8927:38491736BD9E45338FC5F23DF4AAA25F
[I 11:00:39.475 NotebookApp] Kernel restarted: 90ecea09-8888-4b04-89a9-6d75709c8927
[I 11:00:40.372 NotebookApp] Restoring connection for 90ecea09-8888-4b04-89a9-6d75709c8927:38491736BD9E45338FC5F23DF4AAA25F
[I 11:00:40.373 NotebookApp] Replaying 3 buffered messages
[I 11:00:45.468 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:00:47.484 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:00:50.569 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:04:57.712 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:05:05.978 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:05:10.622 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:05:10.951 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:05:11.296 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:10:09.088 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:18:09.028 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:20:09.031 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:24:21.526 NotebookApp] Saving file at /rabbitMQ.ipynb
[I 11:24:22.964 NotebookApp] Saving file at /rabbitMQ.ipynb
